original_text,predicted_specialization,cleaned_text
"Встань к орудию, мы входим в опасную зону, Врач.",Медик,"Встань к орудию, мы входим в опасную зону, ."
"Нужно прицелиться вручную, Врач, займись.",Медик,"Нужно прицелиться вручную, займись."
"Займи турель и прикрой нас, Врач.",Медик,"Займи турель и прикрой нас, ."
"Твоя очередь управлять вооружением, Доктор.",Медик,"Твоя очередь управлять вооружением, ."
"Лекарь, разберись с заклинившим орудием.",Медик,"Лекарь, разберись с заклинившим орудием."
"Лекарь, приготовься к стрельбе.",Медик,"Лекарь, приготовься к стрельбе."
"Врач, перезаряди вооружение.",Медик,перезаряди вооружение.
"Нужно кого-то поставить на пуск установки, Доктор.",Медик,"Нужно кого-то поставить на пуск установки, ."
"Доктор, встань к пушке.",Медик,встань к пушке.
"Нужно управлять оружием вручную, Врач.",Медик,"Нужно управлять оружием вручную, ."
"Займи орудие, я вижу цель, Доктор.",Медик,"Займи орудие, я вижу цель, ."
"На палубе никого, нужно тебе встать на пушку, Врач.",Медик,"На палубе никого, нужно тебе встать на пушку, ."
"Врач, управляй торпедным аппаратом.",Медик,управляй торпедным аппаратом.
"Займи пушку и прикрой наш выход, Врач.",Медик,"Займи пушку и прикрой наш выход, ."
"Займи тяжёлую турель, Доктор.",Медик,"Займи тяжёлую турель, ."
"Займи зенитную установку, Врач.",Медик,"Займи зенитную установку, ."
"Лекарь, управляй левым орудием.",Медик,"Лекарь, управляй левым орудием."
"Займи тяжёлую турель, Врач.",Медик,"Займи тяжёлую турель, ."
"Займи орудие и приготовься к стрельбе, Доктор.",Медик,"Займи орудие и приготовься к стрельбе, ."
"Разберись с орудием на верхней палубе, Медик.",Медик,"Разберись с орудием на верхней палубе, ."
"Займи орудие и жди цели, Медик.",Медик,"Займи орудие и жди цели, ."
"Встань к пульту и наведи пушку, Лекарь.",Медик,"Встань к пульту и наведи пушку, Лекарь."
"Пора бы уже встать к орудию, Доктор.",Медик,"Пора бы уже встать к орудию, ."
"Встань за пульт управления вооружением, Лекарь.",Медик,"Встань за пульт управления вооружением, Лекарь."
"Доктор, быстро займи пост!",Медик,быстро займи пост!
"Медик, прикрой нос.",Медик,прикрой нос.
"Займись перезарядкой орудия, Врач.",Медик,"Займись перезарядкой орудия, ."
"Займи орудие, пока я занимаюсь навигацией, Медик.",Медик,"Займи орудие, пока я занимаюсь навигацией, ."
"Медик, твоя смена на боевом посту.",Медик,твоя смена на боевом посту.
"Возьми на себя управление лазерной пушкой, Доктор.",Медик,"Возьми на себя управление лазерной пушкой, ."
"Встань за пульт и приготовься к бою, Врач.",Медик,"Встань за пульт и приготовься к бою, ."
"Займи орудие, пока остальные ремонтируют, Доктор.",Медик,"Займи орудие, пока остальные ремонтируют, ."
"Врач, требуется твоё мастерство.",Медик,требуется твоё мастерство.
"Пора бы уже встать за пулемёт, Врач.",Медик,"Пора бы уже встать за пулемёт, ."
"Нужно срочно занять турель, Врач.",Медик,"Нужно срочно занять турель, ."
"Медик, мы под атакой, займи орудие!",Медик,"мы под атакой, займи орудие!"
"Займи левое орудие, Доктор.",Медик,"Займи левое орудие, ."
"Лекарь, стабилизируй орудие.",Медик,"Лекарь, стабилизируй орудие."
"Нужно занять все посты, Медик, встань к пушке.",Медик,"Нужно занять все посты, встань к пушке."
"Займи пост у основного калибра, Доктор.",Медик,"Займи пост у основного калибра, ."
"Требуется твоя помощь с наведением орудия, Врач.",Медик,"Требуется твоя помощь с наведением орудия, ."
"Медик, немедленно встань за пульт!",Медик,немедленно встань за пульт!
"Лекарь, быстро займи станцию!",Медик,"Лекарь, быстро займи станцию!"
"Пора бы уже занять оружейный пост, Врач.",Медик,"Пора бы уже занять оружейный пост, ."
"Встань к пульту и заряди пушку, Лекарь.",Медик,"Встань к пульту и заряди пушку, Лекарь."
"Лекарь, угроза, займи позицию!",Медик,"Лекарь, угроза, займи позицию!"
"Врач, срочно займи орудие!",Медик,срочно займи орудие!
"Твои руки нужны на пушке, Медик.",Медик,"Твои руки нужны на пушке, ."
"Пора бы уже занять место стрелка, Доктор.",Медик,"Пора бы уже занять место стрелка, ."
"Займи турель и прикрой нас, Доктор.",Медик,"Займи турель и прикрой нас, ."
"Врач, нужен лучший стрелок.",Медик,нужен лучший стрелок.
"Доктор, быстро займи турель!",Медик,быстро займи турель!
"Доктор, встань к боевому модулю.",Медик,встань к боевому модулю.
"Нужно кого-то поставить на пуск установки, Врач.",Медик,"Нужно кого-то поставить на пуск установки, ."
"Иди наведи пушку на ту тварь, Врач.",Медик,"Иди наведи пушку на ту тварь, ."
"Вручную наведи пушку на цель, Доктор.",Медик,"Вручную наведи пушку на цель, ."
"Займи тяжёлую артиллерию, Медик.",Медик,"Займи тяжёлую артиллерию, ."
"Иди займи пусковую установку, Врач.",Медик,"Иди займи пусковую установку, ."
"Займи ракетную установку, Лекарь.",Медик,"Займи ракетную установку, Лекарь."
"Займи орудие, пока не поздно, Врач.",Медик,"Займи орудие, пока не поздно, ."
"Лекарь, прикрой корму.",Медик,"Лекарь, прикрой корму."
"Встань за пульт и приготовься к бою, Инженер.",Инженер,"Встань за пульт и приготовься к бою, ."
"Требуется твоё вмешательство у орудия, Инженер.",Инженер,"Требуется твоё вмешательство у орудия, ."
"Займи турель и прикрой нас, Техник.",Инженер,"Займи турель и прикрой нас, Техник."
"Займи тяжёлую артиллерию, Техник.",Инженер,"Займи тяжёлую артиллерию, Техник."
"Инженер, атака с воздуха, займи ПВО!",Инженер,"атака с воздуха, займи ПВО!"
"Займи турель и будь наготове, Техник.",Инженер,"Займи турель и будь наготове, Техник."
"Займи систему ПВО, Инженер.",Инженер,"Займи систему ПВО, ."
"Займись перезарядкой орудия, Инженер.",Инженер,"Займись перезарядкой орудия, ."
"Иди займи место у торпедного аппарата, Техник.",Инженер,"Иди займи место у торпедного аппарата, Техник."
"Требуется твоё мастерство у пушки, Инженер.",Инженер,"Требуется твоё мастерство у пушки, ."
"Техник, займи правое орудие.",Инженер,"Техник, займи правое орудие."
"Требуется твоя помощь с наведением орудия, Техник.",Инженер,"Требуется твоя помощь с наведением орудия, Техник."
"Нужно прицелиться вручную, Инженер, займись.",Инженер,"Нужно прицелиться вручную, займись."
"Техник, атака с воздуха, займи ПВО!",Инженер,"Техник, атака с воздуха, займи ПВО!"
"Техник, немедленно встань к пушке!",Инженер,"Техник, немедленно встань к пушке!"
"Возьми на себя управление лазерной пушкой, Инженер.",Инженер,"Возьми на себя управление лазерной пушкой, ."
"Инженер, встань к противолодочному орудию.",Инженер,встань к противолодочному орудию.
"Техник, требуется твоё мастерство.",Инженер,"Техник, требуется твоё мастерство."
"Инженер, перезаряди вооружение.",Инженер,перезаряди вооружение.
"Твоя очередь управлять вооружением, Техник.",Инженер,"Твоя очередь управлять вооружением, Техник."
"Инженер, разряди зарядное устройство.",Инженер,разряди зарядное устройство.
"Инженер, срочно требуется стрелок!",Инженер,срочно требуется стрелок!
"Техник, займи турель.",Инженер,"Техник, займи турель."
"Займи орудие, я координирую атаку, Техник.",Инженер,"Займи орудие, я координирую атаку, Техник."
"Техник, разберись с заклинившим орудием.",Инженер,"Техник, разберись с заклинившим орудием."
"Инженер, займи противоминное орудие.",Инженер,займи противоминное орудие.
"Инженер, опасность, займи турель!",Инженер,"опасность, займи турель!"
"Встань к орудию, мы входим в опасную зону, Техник.",Инженер,"Встань к орудию, мы входим в опасную зону, Техник."
"Инженер, разберись с заклинившим орудием.",Инженер,разберись с заклинившим орудием.
"Встань к орудию, мы входим в опасную зону, Инженер.",Инженер,"Встань к орудию, мы входим в опасную зону, ."
"Техник, нужен ветеран у пушек.",Инженер,"Техник, нужен ветеран у пушек."
"Займись перезарядкой орудия, Техник.",Инженер,"Займись перезарядкой орудия, Техник."
"Твоя очередь нести вахту на оружии, Техник.",Инженер,"Твоя очередь нести вахту на оружии, Техник."
"Встань к пульту и заряди пушку, Инженер.",Инженер,"Встань к пульту и заряди пушку, ."
"Инженер, управляй вооружением.",Инженер,управляй вооружением.
"Займи позицию у боевого модуля, Техник.",Инженер,"Займи позицию у боевого модуля, Техник."
"Встань к запасному орудию, Инженер.",Инженер,"Встань к запасному орудию, ."
"Инженер, встань на позицию.",Инженер,встань на позицию.
"Инженер, мы в опасности, займи вооружение!",Инженер,"мы в опасности, займи вооружение!"
"Займи орудие, пока остальные ремонтируют, Техник.",Инженер,"Займи орудие, пока остальные ремонтируют, Техник."
"Займи зенитную установку, Инженер.",Инженер,"Займи зенитную установку, ."
"Техник, минная опасность, займи противоминное!",Инженер,"Техник, минная опасность, займи противоминное!"
"Займи нижнее орудие, Инженер.",Инженер,"Займи нижнее орудие, ."
"Займи боевую позицию, Инженер.",Инженер,"Займи боевую позицию, ."
"Займи левое орудие, Техник.",Инженер,"Займи левое орудие, Техник."
"Техник, срочно требуется стрелок!",Инженер,"Техник, срочно требуется стрелок!"
"Иди заряди орудие вручную, Техник.",Инженер,"Иди заряди орудие вручную, Техник."
"Техник, займи зенитную установку.",Инженер,"Техник, займи зенитную установку."
"Нужно вручную управлять зениткой, Техник.",Инженер,"Нужно вручную управлять зениткой, Техник."
"Вручную наведи пушку на цель, Инженер.",Инженер,"Вручную наведи пушку на цель, ."
"Инженер, займи тяжёлую турель.",Инженер,займи тяжёлую турель.
"Инженер, враг рядом, встань к пушке!",Инженер,"враг рядом, встань к пушке!"
"На палубе никого, нужно тебе встать на пушку, Техник.",Инженер,"На палубе никого, нужно тебе встать на пушку, Техник."
"Иди разберись с заклинившим орудием, Инженер.",Инженер,"Иди разберись с заклинившим орудием, ."
"Техник, все заняты, встань к пушке.",Инженер,"Техник, все заняты, встань к пушке."
"Встань за пульт и приготовься к бою, Техник.",Инженер,"Встань за пульт и приготовься к бою, Техник."
"Иди на корму, встань за зенитку, Техник.",Инженер,"Иди на корму, встань за зенитку, Техник."
"Техник, немедленно встань за пульт!",Инженер,"Техник, немедленно встань за пульт!"
"Техник, твоя очередь нести вахту.",Инженер,"Техник, твоя очередь нести вахту."
"Техник, опасность, займи турель!",Инженер,"Техник, опасность, займи турель!"
"Инженер, встань к запасному орудию.",Инженер,встань к запасному орудию.
"Нужен человек на кормовое орудие, Инженер.",Инженер,"Нужен человек на кормовое орудие, ."
"Встань к орудию, пока мы не стали мишенью, Инженер.",Инженер,"Встань к орудию, пока мы не стали мишенью, ."
"Инженер, требуется твоя реакция.",Инженер,требуется твоя реакция.
"Инженер, на палубе никого, займи орудие.",Инженер,"на палубе никого, займи орудие."
"Нужно занять все посты, Техник, встань к пушке.",Инженер,"Нужно занять все посты, Техник, встань к пушке."
"Инженер, срочно нужен наводчик!",Инженер,срочно нужен наводчик!
"Займи позицию у торпедного аппарата, Техник.",Инженер,"Займи позицию у торпедного аппарата, Техник."
"Техник, управляй торпедным аппаратом.",Инженер,"Техник, управляй торпедным аппаратом."
"Займи турель, пока остальные заняты, Техник.",Инженер,"Займи турель, пока остальные заняты, Техник."
"Инженер, пока остальные заняты, займи орудие.",Инженер,"пока остальные заняты, займи орудие."
"Инженер, управляй левым орудием.",Инженер,управляй левым орудием.
"Пора бы уже занять оружейный пост, Техник.",Инженер,"Пора бы уже занять оружейный пост, Техник."
"Вручную наведи пушку на цель, Техник.",Инженер,"Вручную наведи пушку на цель, Техник."
"Иди займи позицию у лазерной пушки, Инженер.",Инженер,"Иди займи позицию у лазерной пушки, ."
"Техник, твоя смена на боевом посту.",Инженер,"Техник, твоя смена на боевом посту."
"Иди разберись с заклинившим орудием, Техник.",Инженер,"Иди разберись с заклинившим орудием, Техник."
"Нужен человек на кормовое орудие, Техник.",Инженер,"Нужен человек на кормовое орудие, Техник."
"Инженер, наведи пушку на цель.",Инженер,наведи пушку на цель.
"Займи орудие и приготовься к стрельбе, Инженер.",Инженер,"Займи орудие и приготовься к стрельбе, ."
"Инженер, быстро займи станцию!",Инженер,быстро займи станцию!
"Нужно вручную управлять огнём, Техник.",Инженер,"Нужно вручную управлять огнём, Техник."
"Инженер, прикрой правый борт.",Инженер,прикрой правый борт.
"Техник, прикрой правый борт.",Инженер,"Техник, прикрой правый борт."
"Инженер, подводная атака, займи противолодочное!",Инженер,"подводная атака, займи противолодочное!"
"Нужен стрелок на носовую пушку, Инженер.",Инженер,"Нужен стрелок на носовую пушку, ."
"На палубе пусто, встань за пулемёт, Инженер.",Инженер,"На палубе пусто, встань за пулемёт, ."
"Займи орудие, я вижу цель, Инженер.",Инженер,"Займи орудие, я вижу цель, ."
"Инженер, требуется твоё мастерство.",Инженер,требуется твоё мастерство.
"Техник, встань за пулемёт.",Инженер,"Техник, встань за пулемёт."
"Займи пост у основного калибра, Техник.",Инженер,"Займи пост у основного калибра, Техник."
"Нужно вручную управлять зениткой, Инженер.",Инженер,"Нужно вручную управлять зениткой, ."
"Займись системой вооружения, Техник.",Инженер,"Займись системой вооружения, Техник."
"Встань к пульту и заряди пушку, Техник.",Инженер,"Встань к пульту и заряди пушку, Техник."
"Иди разряди зарядное устройство орудия, Инженер.",Инженер,"Иди разряди зарядное устройство орудия, ."
"Техник, займи носовую пушку.",Инженер,"Техник, займи носовую пушку."
"Требуется твоя помощь с пушкой, Инженер.",Инженер,"Требуется твоя помощь с пушкой, ."
"Техник, перезаряди вооружение.",Инженер,"Техник, перезаряди вооружение."
"Техник, встань к пушке.",Инженер,"Техник, встань к пушке."
"Займись противоминным орудием, Инженер.",Инженер,"Займись противоминным орудием, ."
"Займи ракетную установку, Слесарь.",Механик,"Займи ракетную установку, Слесарь."
"Иди займи пусковую установку, Ремонтник.",Механик,"Иди займи пусковую установку, Ремонтник."
"Ремонтник, на палубе никого, займи орудие.",Механик,"Ремонтник, на палубе никого, займи орудие."
"Механик, срочно требуется стрелок!",Механик,срочно требуется стрелок!
"Ремонтник, твои навыки нужны у пушки.",Механик,"Ремонтник, твои навыки нужны у пушки."
"Ремонтник, стабилизируй орудие.",Механик,"Ремонтник, стабилизируй орудие."
"Слесарь, минная опасность, займи противоминное!",Механик,"Слесарь, минная опасность, займи противоминное!"
"Требуется твоя реакция у орудия, Слесарь.",Механик,"Требуется твоя реакция у орудия, Слесарь."
"Иди на корму, встань за зенитку, Слесарь.",Механик,"Иди на корму, встань за зенитку, Слесарь."
"Механик, встань за пулемёт.",Механик,встань за пулемёт.
"Слесарь, твоя очередь нести вахту.",Механик,"Слесарь, твоя очередь нести вахту."
"Ремонтник, прикрой нос.",Механик,"Ремонтник, прикрой нос."
"Ремонтник, управляй вооружением.",Механик,"Ремонтник, управляй вооружением."
"Механик, мы в опасности, займи вооружение!",Механик,"мы в опасности, займи вооружение!"
"Иди займи место у торпедного аппарата, Ремонтник.",Механик,"Иди займи место у торпедного аппарата, Ремонтник."
"Займи пульт управления огнём, Механик.",Механик,"Займи пульт управления огнём, ."
"Механик, встань к боевому модулю.",Механик,встань к боевому модулю.
"Займи орудие и жди цели, Ремонтник.",Механик,"Займи орудие и жди цели, Ремонтник."
"Займи орудие, пока я занимаюсь навигацией, Ремонтник.",Механик,"Займи орудие, пока я занимаюсь навигацией, Ремонтник."
"Нужно вручную управлять огнём, Механик.",Механик,"Нужно вручную управлять огнём, ."
"Иди разряди зарядное устройство орудия, Ремонтник.",Механик,"Иди разряди зарядное устройство орудия, Ремонтник."
"Вручную наведи пушку на цель, Слесарь.",Механик,"Вручную наведи пушку на цель, Слесарь."
"Слесарь, стабилизируй орудие.",Механик,"Слесарь, стабилизируй орудие."
"Нужно вручную управлять огнём, Ремонтник.",Механик,"Нужно вручную управлять огнём, Ремонтник."
"Слесарь, приготовься к стрельбе.",Механик,"Слесарь, приготовься к стрельбе."
"Ремонтник, встань к противолодочному орудию.",Механик,"Ремонтник, встань к противолодочному орудию."
"Ремонтник, управляй системой залпового огня.",Механик,"Ремонтник, управляй системой залпового огня."
"Механик, твоя очередь нести вахту.",Механик,твоя очередь нести вахту.
"Механик, угроза, займи позицию!",Механик,"угроза, займи позицию!"
"Слесарь, открой огонь по команде.",Механик,"Слесарь, открой огонь по команде."
"Иди займи место у торпедного аппарата, Слесарь.",Механик,"Иди займи место у торпедного аппарата, Слесарь."
"Встань за пульт управления вооружением, Механик.",Механик,"Встань за пульт управления вооружением, ."
"Иди разберись с орудием, Механик.",Механик,"Иди разберись с орудием, ."
"Займи турель, пока остальные заняты, Механик.",Механик,"Займи турель, пока остальные заняты, ."
"Слесарь, встань к противолодочному орудию.",Механик,"Слесарь, встань к противолодочному орудию."
"Механик, встань к верхней турели.",Механик,встань к верхней турели.
"Займи нижнее орудие, Слесарь.",Механик,"Займи нижнее орудие, Слесарь."
"Слесарь, займи основной калибр.",Механик,"Слесарь, займи основной калибр."
"Требуется твоё вмешательство у орудия, Механик.",Механик,"Требуется твоё вмешательство у орудия, ."
"Иди на корму, встань за зенитку, Механик.",Механик,"Иди на корму, встань за зенитку, ."
"Встань к пульту и заряди пушку, Ремонтник.",Механик,"Встань к пульту и заряди пушку, Ремонтник."
"Слесарь, боевая тревога, займи пост!",Механик,"Слесарь, боевая тревога, займи пост!"
"Займи пульт управления огнём, Слесарь.",Механик,"Займи пульт управления огнём, Слесарь."
"Ремонтник, твоя смена на боевом посту.",Механик,"Ремонтник, твоя смена на боевом посту."
"Слесарь, немедленно встань за пульт!",Механик,"Слесарь, немедленно встань за пульт!"
"Иди на корму, встань за зенитку, Ремонтник.",Механик,"Иди на корму, встань за зенитку, Ремонтник."
"Встань к орудию, мы входим в опасную зону, Механик.",Механик,"Встань к орудию, мы входим в опасную зону, ."
"Слесарь, прикрой наш выход.",Механик,"Слесарь, прикрой наш выход."
"Иди наведи пушку на сканеры, Слесарь.",Механик,"Иди наведи пушку на сканеры, Слесарь."
"Нужен кто-то у пусковой, Слесарь, займись.",Помощник,"Нужен кто-то у пусковой, Слесарь, займись."
"Нужен стрелок на носовую пушку, Ремонтник.",Механик,"Нужен стрелок на носовую пушку, Ремонтник."
"Иди разберись с орудием, Слесарь.",Механик,"Иди разберись с орудием, Слесарь."
"Механик, заряди орудие.",Механик,заряди орудие.
"Пора бы уже занять турель, Ремонтник.",Механик,"Пора бы уже занять турель, Ремонтник."
"Ремонтник, займи основной калибр.",Механик,"Ремонтник, займи основной калибр."
"Слесарь, мы под атакой, займи орудие!",Механик,"Слесарь, мы под атакой, займи орудие!"
"Ремонтник, требуется твоя реакция.",Механик,"Ремонтник, требуется твоя реакция."
"Займи позицию у боевого модуля, Механик.",Механик,"Займи позицию у боевого модуля, ."
"На палубе пусто, встань за пулемёт, Механик.",Механик,"На палубе пусто, встань за пулемёт, ."
"Требуется твоя помощь с наведением орудия, Ремонтник.",Механик,"Требуется твоя помощь с наведением орудия, Ремонтник."
"Твоя очередь управлять вооружением, Механик.",Механик,"Твоя очередь управлять вооружением, ."
"Займи пост у основного калибра, Слесарь.",Механик,"Займи пост у основного калибра, Слесарь."
"Иди разряди зарядное устройство орудия, Слесарь.",Механик,"Иди разряди зарядное устройство орудия, Слесарь."
"Нужно срочно занять турель, Слесарь.",Механик,"Нужно срочно занять турель, Слесарь."
"Нужно вручную управлять зениткой, Ремонтник.",Механик,"Нужно вручную управлять зениткой, Ремонтник."
"Пора бы уже встать за пулемёт, Ремонтник.",Механик,"Пора бы уже встать за пулемёт, Ремонтник."
"Займи турель, пока остальные заняты, Слесарь.",Механик,"Займи турель, пока остальные заняты, Слесарь."
"Ремонтник, разберись с заклинившим орудием.",Механик,"Ремонтник, разберись с заклинившим орудием."
"Нужен ветеран у пушек, Ремонтник, это ты.",Механик,"Нужен ветеран у пушек, Ремонтник, это ты."
"Нужно управлять оружием вручную, Ремонтник.",Механик,"Нужно управлять оружием вручную, Ремонтник."
"Иди заряди орудие вручную, Механик.",Механик,"Иди заряди орудие вручную, ."
"Механик, враг приближается, встань к пушке!",Механик,"враг приближается, встань к пушке!"
"Слесарь, управляй торпедным аппаратом.",Механик,"Слесарь, управляй торпедным аппаратом."
"Слесарь, наведи пушку на цель.",Механик,"Слесарь, наведи пушку на цель."
"Иди разряди зарядное устройство орудия, Механик.",Механик,"Иди разряди зарядное устройство орудия, ."
"Механик, управляй тяжёлой артиллерией.",Механик,управляй тяжёлой артиллерией.
"Требуется твоё мастерство у пушки, Слесарь.",Механик,"Требуется твоё мастерство у пушки, Слесарь."
"Займи орудие, я координирую атаку, Механик.",Механик,"Займи орудие, я координирую атаку, ."
"Займи систему залпового огня, Слесарь.",Механик,"Займи систему залпового огня, Слесарь."
"Слесарь, пока остальные заняты, займи орудие.",Механик,"Слесарь, пока остальные заняты, займи орудие."
"Займись перезарядкой орудия, Ремонтник.",Механик,"Займись перезарядкой орудия, Ремонтник."
"Займи орудие, я вижу цель, Слесарь.",Механик,"Займи орудие, я вижу цель, Слесарь."
"Займи орудие и жди моего приказа, Ремонтник.",Механик,"Займи орудие и жди моего приказа, Ремонтник."
"Займись перезарядкой орудия, Механик.",Механик,"Займись перезарядкой орудия, ."
"Ремонтник, разряди зарядное устройство.",Механик,"Ремонтник, разряди зарядное устройство."
"Встань к орудию, мы входим в опасную зону, Слесарь.",Помощник,"Встань к орудию, мы входим в опасную зону, Слесарь."
"Нужно занять все посты, Ремонтник, встань к пушке.",Механик,"Нужно занять все посты, Ремонтник, встань к пушке."
"Иди разберись с орудием, Ремонтник.",Механик,"Иди разберись с орудием, Ремонтник."
"Механик, займи систему ПВО.",Механик,займи систему ПВО.
"Нужно кого-то поставить на пушку, Слесарь, займись.",Механик,"Нужно кого-то поставить на пушку, Слесарь, займись."
"Нужно управлять оружием вручную, Слесарь.",Механик,"Нужно управлять оружием вручную, Слесарь."
"Ремонтник, быстро займи пост!",Механик,"Ремонтник, быстро займи пост!"
"Нужен человек на кормовое орудие, Механик.",Механик,"Нужен человек на кормовое орудие, ."
"Слесарь, твои навыки нужны у пушки.",Механик,"Слесарь, твои навыки нужны у пушки."
"Займи орудие, я координирую атаку, Слесарь.",Механик,"Займи орудие, я координирую атаку, Слесарь."
"Твоя очередь управлять вооружением, Слесарь.",Механик,"Твоя очередь управлять вооружением, Слесарь."
"Займись противоминным орудием, Ремонтник.",Механик,"Займись противоминным орудием, Ремонтник."
"Ремонтник, перезаряди вооружение.",Механик,"Ремонтник, перезаряди вооружение."
"Слесарь, немедленно займи позицию!",Механик,"Слесарь, немедленно займи позицию!"
"Слесарь, управляй тяжёлой артиллерией.",Механик,"Слесарь, управляй тяжёлой артиллерией."
"Юнга, встань к противолодочному орудию.",Помощник,"Юнга, встань к противолодочному орудию."
"Юнга, разберись с заклинившим орудием.",Помощник,"Юнга, разберись с заклинившим орудием."
"Коллега, встань к запасному орудию.",Помощник,"Коллега, встань к запасному орудию."
"Займись противоминным орудием, Коллега.",Помощник,"Займись противоминным орудием, Коллега."
"Коллега, встань к пушке.",Помощник,"Коллега, встань к пушке."
"Займи боевую позицию, Коллега.",Помощник,"Займи боевую позицию, Коллега."
"Пора бы уже занять боевой пост, Юнга.",Помощник,"Пора бы уже занять боевой пост, Юнга."
"Помощник, займи систему ПВО.",Помощник,займи систему ПВО.
"Твоя очередь нести вахту на оружии, Юнга.",Помощник,"Твоя очередь нести вахту на оружии, Юнга."
"Займи пушку и прикрой наш выход, Коллега.",Помощник,"Займи пушку и прикрой наш выход, Коллега."
"Твоя очередь стрелять, Коллега.",Помощник,"Твоя очередь стрелять, Коллега."
"Займи турель, пока остальные заняты, Коллега.",Помощник,"Займи турель, пока остальные заняты, Коллега."
"Нужно занять все посты, Помощник, встань к пушке.",Помощник,"Нужно занять все посты, встань к пушке."
"Коллега, управляй тяжёлой артиллерией.",Помощник,"Коллега, управляй тяжёлой артиллерией."
"Юнга, требуется твоё мастерство.",Помощник,"Юнга, требуется твоё мастерство."
"Пора бы уже занять боевой пост, Коллега.",Помощник,"Пора бы уже занять боевой пост, Коллега."
"Помощник, немедленно займи позицию!",Помощник,немедленно займи позицию!
"Займи боевую рубку, Юнга.",Помощник,"Займи боевую рубку, Юнга."
"Займи орудие, я вижу цель, Коллега.",Помощник,"Займи орудие, я вижу цель, Коллега."
"Юнга, мы под атакой, займи орудие!",Помощник,"Юнга, мы под атакой, займи орудие!"
"Иди разряди зарядное устройство орудия, Коллега.",Помощник,"Иди разряди зарядное устройство орудия, Коллега."
"Нужно кого-то поставить на баковую пушку, Юнга.",Помощник,"Нужно кого-то поставить на баковую пушку, Юнга."
"Юнга, займись орудием.",Помощник,"Юнга, займись орудием."
"Займи орудие и жди цели, Юнга.",Помощник,"Займи орудие и жди цели, Юнга."
"Требуется твоё мастерство у пушки, Коллега.",Помощник,"Требуется твоё мастерство у пушки, Коллега."
"Займи орудие, я вижу цель, Помощник.",Помощник,"Займи орудие, я вижу цель, ."
"Помощник, управляй торпедным аппаратом.",Помощник,управляй торпедным аппаратом.
"Нужно срочно занять турель, Новичок.",Помощник,"Нужно срочно занять турель, Новичок."
"Коллега, управляй торпедным аппаратом.",Помощник,"Коллега, управляй торпедным аппаратом."
"Займи ракетную установку, Юнга.",Помощник,"Займи ракетную установку, Юнга."
"Иди займи пост у реактивной пушки, Коллега.",Помощник,"Иди займи пост у реактивной пушки, Коллега."
"Нужно прицелиться вручную, Юнга, займись.",Помощник,"Нужно прицелиться вручную, Юнга, займись."
"Займи орудие, я беру управление на себя, Новичок.",Near,"Займи орудие, я беру управление на себя, Новичок."
"Иди на корму, встань за зенитку, Помощник.",Помощник,"Иди на корму, встань за зенитку, ."
